Simulator Program
=================

Uploading Configuration Files

Uploading Meta Data Files

=================
Begin Simulation

#Time:  3.145161, OS: Process 2 keyboard IO end
Time:  3.154334, OS: Process 2 set in READY state
Time:  3.165096, OS: Process 2 selected with 1548 ms remaining
#
#
#
#
Time:  3.166068, OS: Interrupt by Process 0
#
#
#
#
#Time:  3.176060, OS: Process 2 set in RUNNING state
Time:  3.185550, OS: Process 0 keyboard IO end
Time:  3.193152, OS: Process 2 keyboard input start
Time:  3.204204, OS: Process 0 set in READY state
Time:  3.219736, OS: Process 2 set in BLOCKED state
Time:  3.227911, OS: Process 0 selected with 2678 ms remaining
Time:  3.236551, OS: Process 0 set in RUNNING state
Time:  3.246834, OS: Process 0 keyboard input start
Time:  3.255404, OS: Process 0 set in BLOCKED state
Time:  3.265088, OS: System Idle
#
#
#
#
Time:  3.367966, OS: Interrupt by Process 2
#
#
#
#
#Time:  3.373388, OS: Process 2 keyboard IO end
Time:  3.379401, OS: Process 2 set in READY state
Time:  3.391129, OS: Process 2 selected with 1408 ms remaining
Time:  3.401490, OS: Process 2 set in RUNNING state
Time:  3.408069, OS: Process 2 printer output start
Time:  3.418600, OS: Process 2 set in BLOCKED state
Time:  3.430081, OS: System Idle
#
#
#
#
Time:  3.531138, OS: Interrupt by Process 0
#
#
#
#
#Time:  3.540324, OS: Process 0 keyboard IO end
Time:  3.549552, OS: Process 0 set in READY state
Time:  3.559235, OS: Process 0 selected with 2412 ms remaining
Time:  3.566920, OS: Process 0 set in RUNNING state
Time:  3.576311, OS: Process 0 printer output start
Time:  3.586163, OS: Process 0 set in BLOCKED state
Time:  3.594891, OS: System Idle
#
#
#
#
Time:  3.682949, OS: Interrupt by Process 0
#
#
#
#
#Time:  3.694775, OS: Process 0 printer IO end
Time:  3.701610, OS: Process 0 set in READY state
Time:  3.712014, OS: Process 0 selected with 2324 ms remaining
#
#
#
#
Time:  3.714128, OS: Interrupt by Process 2
#
#
#
#
#Time:  3.720896, OS: Process 0 set in RUNNING state
Time:  3.729078, OS: Process 2 printer IO end
Time:  3.738081, OS: Process 0 keyboard input start
Time:  3.743092, OS: Process 2 set in READY state
Time:  3.760854, OS: Process 0 set in BLOCKED state
Time:  3.768411, OS: Process 2 selected with 1124 ms remaining
Time:  3.777522, OS: Process 2 set in RUNNING state
Time:  3.784671, OS: Process 2 printer output start
Time:  3.795832, OS: Process 2 set in BLOCKED state
Time:  3.806460, OS: System Idle
#
#
#
#
Time:  3.930460, OS: Interrupt by Process 0
#
#
#
#
#Time:  3.941229, OS: Process 0 keyboard IO end
Time:  3.946809, OS: Process 0 set in READY state
Time:  3.954140, OS: Process 0 selected with 2162 ms remaining
Time:  3.965085, OS: Process 0 set in RUNNING state
Time:  3.970012, OS: Process 0 keyboard input start
Time:  3.981254, OS: Process 0 set in BLOCKED state
Time:  3.989889, OS: System Idle
#
#
#
#
Time:  4.074509, OS: Interrupt by Process 2
#
#
